Rating,Bigram,Count
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 4 to 5,solid,1
Rating 3 to 4,printed,1
Rating 3 to 4,printed,1
Rating 3 to 4,printed,1
Rating 3 to 4,printed,1
Rating 3 to 4,printed,1
Rating 4 to 5,printed,1
Rating 4 to 5,printed,1
Rating 3 to 4,printed,1
Rating 3 to 4,printed,1
Rating 4 to 5,printed,1
Rating 3 to 4,printed,1
Rating 4 to 5,printed,1
Rating 4 to 5,printed,1
Rating 3 to 4,printed,1
Rating 4 to 5,printed,1
Rating 3 to 4,printed,1
Rating 4 to 5,printed,1
Rating 4 to 5,printed,1
Rating 3 to 4,printed,1
Rating 4 to 5,printed,1
Rating 3 to 4,printed,1
Rating 3 to 4,printed,1
Rating 4 to 5,printed,1
Rating 3 to 4,printed,1
Rating 4 to 5,printed,1
Rating 4 to 5,printed,1
Rating 3 to 4,printed,1
Rating 4 to 5,printed,1
Rating 4 to 5,printed,1
Rating 4 to 5,printed,1
Rating 3 to 4,printed,1
Rating 3 to 4,printed,1
Rating 4 to 5,printed,1
Rating 4 to 5,printed,1
Rating 4 to 5,printed,1
Rating 4 to 5,printed,1
Rating 4 to 5,printed,1
Rating 3 to 4,printed,1
Rating 3 to 4,printed,1
Rating 4 to 5,printed,1
Rating 4 to 5,printed,1
Rating 3 to 4,printed,1
Rating 3 to 4,printed,1
Rating 4 to 5,printed,1
Rating 4 to 5,printed,1
Rating 3 to 4,printed,1
Rating 3 to 4,printed,1
Rating 3 to 4,printed,1
Rating 4 to 5,printed,1
Rating 4 to 5,printed,1
Rating 3 to 4,printed,1
Rating 3 to 4,printed,1
Rating 4 to 5,printed,1
Rating 4 to 5,printed,1
Rating 3 to 4,printed,1
Rating 3 to 4,printed,1
Rating 3 to 4,printed,1
Rating 4 to 5,printed,1
Rating 3 to 4,printed,1
Rating 4 to 5,printed,1
Rating 3 to 4,printed,1
Rating 3 to 4,printed,1
Rating 4 to 5,printed,1
Rating 3 to 4,printed,1
Rating 4 to 5,printed,1
Rating 4 to 5,printed,1
Rating 4 to 5,printed,1
Rating 4 to 5,striped,1
Rating 3 to 4,striped,1
Rating 4 to 5,striped,1
Rating 4 to 5,striped,1
Rating 3 to 4,striped,1
Rating 3 to 4,striped,1
Rating 4 to 5,striped,1
Rating 3 to 4,striped,1
Rating 3 to 4,striped,1
Rating 4 to 5,striped,1
Rating 3 to 4,striped,1
Rating 3 to 4,striped,1
Rating 4 to 5,striped,1
Rating 4 to 5,striped,1
Rating 3 to 4,striped,1
Rating 3 to 4,striped,1
Rating 4 to 5,striped,1
Rating 4 to 5,striped,1
Rating 4 to 5,striped,1
Rating 4 to 5,striped,1
Rating 3 to 4,striped,1
Rating 4 to 5,striped,1
Rating 4 to 5,striped,1
Rating 4 to 5,striped,1
Rating 4 to 5,striped,1
Rating 4 to 5,striped,1
Rating 3 to 4,striped,1
Rating 3 to 4,striped,1
Rating 4 to 5,striped,1
Rating 4 to 5,striped,1
Rating 3 to 4,striped,1
Rating 4 to 5,striped,1
Rating 4 to 5,striped,1
Rating 4 to 5,striped,1
Rating 3 to 4,striped,1
Rating 4 to 5,striped,1
Rating 3 to 4,striped,1
Rating 3 to 4,striped,1
Rating 4 to 5,striped,1
Rating 4 to 5,striped,1
Rating 4 to 5,striped,1
Rating 3 to 4,striped,1
Rating 4 to 5,striped,1
Rating 3 to 4,striped,1
Rating 3 to 4,striped,1
Rating 4 to 5,striped,1
Rating 4 to 5,striped,1
Rating 4 to 5,striped,1
Rating 3 to 4,color block,1
Rating 4 to 5,color block,1
Rating 4 to 5,color block,1
Rating 3 to 4,color block,1
Rating 3 to 4,color block,1
Rating 4 to 5,color block,1
Rating 4 to 5,color block,1
Rating 3 to 4,color block,1
Rating 4 to 5,color block,1
Rating 4 to 5,color block,1
Rating 3 to 4,color block,1
Rating 4 to 5,color block,1
Rating 4 to 5,color block,1
Rating 3 to 4,color block,1
Rating 3 to 4,color block,1
Rating 4 to 5,color block,1
Rating 3 to 4,color block,1
Rating 3 to 4,color block,1
Rating 4 to 5,color block,1
Rating 4 to 5,color block,1
Rating 4 to 5,color block,1
Rating 4 to 5,color block,1
Rating 4 to 5,color block,1
Rating 3 to 4,color block,1
Rating 4 to 5,color block,1
Rating 4 to 5,color block,1
Rating 3 to 4,color block,1
Rating 4 to 5,color block,1
Rating 4 to 5,color block,1
Rating 3 to 4,color block,1
Rating 4 to 5,color block,1
Rating 4 to 5,color block,1
Rating 4 to 5,color block,1
Rating 3 to 4,color block,1
Rating 4 to 5,color block,1
Rating 4 to 5,color block,1
Rating 4 to 5,color block,1
Rating 4 to 5,color block,1
Rating 3 to 4,color block,1
Rating 4 to 5,color block,1
Rating 4 to 5,color block,1
Rating 4 to 5,color block,1
Rating 3 to 4,color block,1
Rating 3 to 4,color block,1
Rating 4 to 5,color block,1
Rating 4 to 5,color block,1
Rating 4 to 5,color block,1
Rating 4 to 5,color block,1
Rating 3 to 4,pack of 3 solid,1
Rating 4 to 5,pack of 3 solid,1
Rating 3 to 4,pack of 3 solid,1
Rating 4 to 5,pack of 3 solid,1
Rating 4 to 5,pack of 3 solid,1
Rating 4 to 5,pack of 3 solid,1
Rating 4 to 5,pack of 3 solid,1
Rating 4 to 5,pack of 3 solid,1
Rating 4 to 5,pack of 3 solid,1
Rating 4 to 5,pack of 3 solid,1
Rating 4 to 5,pack of 3 solid,1
Rating 3 to 4,pack of 3 solid,1
Rating 4 to 5,pack of 3 solid,1
Rating 4 to 5,pack of 3 solid,1
Rating 3 to 4,pack of 3 solid,1
Rating 3 to 4,checkered,1
Rating 3 to 4,ombre,1
Rating 4 to 5,striped applique,1
Rating 3 to 4,pack of 3 printed,1
Rating 4 to 5,pack of 3 color block,1
